number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2874,2020-04-30T10:16:15Z,2020-05-05T03:11:16Z,2020-05-05T03:11:16Z,9,551,313,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
An experimental p/invoke based system proxy implementation. Main goal is remove all blob in net-core version.",3,6
2875,2020-05-01T16:55:27Z,2020-05-16T10:33:38Z,2020-05-16T10:33:39Z,17,6103,7518,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Replace GFWList with v2ray GeoSite database in case GFWList finally stopped maintenance (gfwlist/gfwlist#1945).
TODO:

 shared Github release API (Needn't, they has a release branch)
 i18n update
 customizable GeoSite group
 more stability test
 how to migrate?
 give more time to GFWList
 document update
 announce breaking change",3,2
2879,2020-05-05T11:20:33Z,2020-05-06T00:36:15Z,2020-05-06T00:36:15Z,4,98,29,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Just document update",1,0
2887,2020-05-11T06:40:15Z,2020-05-11T12:23:48Z,2020-05-11T12:23:48Z,1,28,27,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
😃",2,0
2904,2020-06-05T08:23:50Z,2020-06-27T02:33:38Z,2020-06-27T02:33:38Z,11,166,158,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Always generate SIP002 URL. User can generate legacy URL via hidden flag in config.
Close #2774",1,0
2909,2020-06-11T09:23:14Z,2020-06-20T02:19:11Z,2020-06-20T02:19:11Z,12,147,61,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information

Using System.Net.Http.HttpClient for GeositeUpdater.
Verifies downloaded geosite db by comparing sha256sum before committing the change.
Removed some legacy compatibility code from Program.cs as we are not using .NET Framework.
Changed CurrentDirectory detection method so that Self-Contained .exe can have its configuration files in the same directory as the .exe instead of in the temporary folder.
Added some PublishProfiles for convenience.
Updated dependencies to their latest versions.
Code cleanup.",3,1
2935,2020-08-20T07:21:20Z,2020-08-20T13:24:06Z,2020-08-20T13:24:06Z,2,16,15,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Current implementation of SIP002 URI Scheme parser produces wrong output for a URI with spaces in its fragment section.
Expected Behavior
Given URI ss://YmYtY2ZiOnRlc3Q@192.168.100.1:8888/?plugin=obfs-local%3bobfs%3dhttp%3bobfs-host%3dgoogle.com#example-server+1, a Server with remark example-server 1 is created.
Current Behavior
Given URI ss://YmYtY2ZiOnRlc3Q@192.168.100.1:8888/?plugin=obfs-local%3bobfs%3dhttp%3bobfs-host%3dgoogle.com#example-server+1, a Server with remark example-server+1 is created.
Note
Current behavior was also observed in other SIP002 implementations, such as Shadowrocket. This fix may break potential compatibility with these clients.",4,1
2937,2020-08-25T13:20:31Z,2020-09-01T07:34:41Z,2020-09-01T07:34:41Z,1,3,22,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information


Code optimization for ""SodiumIncrement"" method.


No longer need ""byte[]"" version for compatibility, for it's return void.",3,1
2942,2020-09-03T10:41:59Z,2020-09-30T13:09:56Z,2020-09-30T13:09:56Z,15,1541,818,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Close #1703
Close #2939
Close #2928
Finally, here we are......
Some glitch is expected...",3,2
2959,2020-09-18T19:39:30Z,2020-10-11T14:56:45Z,2020-10-11T14:56:45Z,12,275,330,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
This is a series of attempts that aims to modernize shadowsocks-windows by rewriting most UI components using WPF and standard MVVM patterns, and eventually make it a highly-maintainable WPF MVVM project.
This PR adds the ReactiveUI.WPF package as the MVVM framework. The old server sharing form is replaced with a new one implemented in XAML.",3,7
2977,2020-10-09T13:59:17Z,2020-10-24T10:39:54Z,2020-10-24T10:39:54Z,62,14694,0,"Based on the discussion in #2966 , we are now ready to start the pre-work on v5 and begin the migration to WPF.

Created new WPF GUI project (based on .NET Core 3.1)
Split the old module into Common, Crypto, Shadowsocks for easy maintenance.(based on .NET Std 2.1)
Modify relevant package information.
Moving some simple classes and updating the related module dependency list.

c.c. @celeron533
Closed #2966
Closed #2962",2,1
