reviews,num_arquivos,num_linhas_adicionadas,num_linhas_deletadas,tempo_analise,num_caracteres_descricao,num_participantes,num_comentarios,was_merged
1,5,5,5,65596,13,2,1,True
1,1,1,1,70533,0,2,1,True
1,1,1,1,55284,98,2,1,True
1,1,1,1,48269,50,2,1,True
1,1,3,3,82599,168,2,1,True
1,7,164,120,55224,299,3,6,True
3,1,1,1,29984,0,4,2,True
3,1,4,4,84633,27,4,2,True
3,1,1,1,20423,0,4,1,True
3,1,1,1,73462,0,4,2,True
4,1,2,2,19067,551,3,2,True
1,1,1,1,86393,0,2,0,True
6,11,33,33,17424,1693,6,5,False
1,2,4,4,58973,10,2,1,True
2,4,4,4,32728,0,3,1,True
1,1,7,7,31550,169,3,4,True
2,1,20,20,7614,199,4,4,True
1,1,1,1,49209,49,2,2,True
1,1,7,1,38595,78,2,1,False
4,4,4,4,61586,23,3,4,True
7,1,47,0,30622,136,5,7,True
2,1,1,1,66850,107,3,1,False
1,1,1,1,43142,0,2,1,True
2,1,1,1,62541,0,3,1,True
