name_with_owner,stars,created_at,releases,loc,cbo,dit,lcom
JakeWharton/u2020,5681,2013-11-14,0,4806,833,191,3165
apache/incubator-kie-drools,5667,2011-02-18,4,749998,74882,18105,687691
gephi/gephi,5647,2011-10-22,19,125187,10674,3974,58620
daimajia/AndroidImageSlider,5639,2014-06-02,5,3813,256,99,3723
auth0/java-jwt,5637,2014-03-07,44,8924,487,140,12276
journeyapps/zxing-android-embedded,5627,2012-11-28,9,5169,522,131,2104
hanks-zyh/HTextView,5591,2015-12-19,0,3076,382,142,317
hongyangAndroid/FlowLayout,5584,2015-08-28,0,810,147,48,170
kestra-io/kestra,5584,2019-08-24,64,36370,9399,1707,11744
PojavLauncherTeam/PojavLauncher,5577,2020-03-11,124,24447,2193,501,47515
LSPosed/LSPatch,5574,2021-03-01,9,7008,634,197,3486
knightliao/disconf,5572,2014-05-30,12,14009,1886,577,5362
nhaarman/ListViewAnimations,5572,2013-03-19,14,5697,887,282,1433
crazycodeboy/react-native-splash-screen,5557,2016-09-14,12,246,41,15,24
yanzhenjie/SwipeRecyclerView,5556,2016-08-03,0,11090,1333,382,7409
alipay/SoloPi,5556,2019-03-14,8,56327,5409,1411,15369
gz-yami/mall4cloud,5546,2021-08-04,4,19166,2928,617,25859
ffay/lanproxy,5508,2016-11-20,1,2668,267,75,517
Nepxion/Discovery,5506,2018-06-21,128,25842,3947,1049,15246
vavr-io/vavr,5496,2014-01-30,17,64440,5378,822,762722
AriaLyy/Aria,5485,2016-02-19,26,42723,4524,1234,33708
alibaba/freeline,5485,2016-08-03,22,5357,513,217,1872
pig-mesh/pig,5455,2019-08-26,34,7341,2556,469,1960
dm77/barcodescanner,5454,2014-02-24,6,2796,386,120,863
LandGrey/SpringBootVulExploit,5453,2020-05-20,0,258,48,14,50
scribejava/scribejava,5418,2010-09-05,9,12671,2079,692,5402
apache/dubbo-spring-boot-project,5403,2018-01-18,13,1908,633,104,1062
wuhaoyu1990/MagicCamera,5389,2016-01-08,0,14543,1247,516,2686
apache/iceberg,5387,2018-11-19,18,265390,33896,6509,127995
google/google-java-format,5377,2015-05-11,26,12902,957,242,10909
motianhuo/wechat,5351,2015-05-25,0,34426,3325,794,9813
commonsguy/cw-omnibus,5332,2012-03-12,36,71119,10241,3276,39028
baidu/uid-generator,5329,2017-03-27,0,873,72,32,293
evant/gradle-retrolambda,5311,2013-08-05,37,623,115,26,54
h6ah4i/android-advancedrecyclerview,5306,2015-01-24,1,20692,2609,951,12649
facebookarchive/shimmer-android,5287,2015-02-27,5,885,60,13,126
apache/hive,5283,2009-05-21,0,2031206,139056,28352,1985607
WeiYe-Jing/datax-web,5270,2019-11-19,5,13801,1598,440,4197
vespa-engine/vespa,5264,2016-06-03,132,610568,71344,18712,461531
ElderDrivers/EdXposed,5259,2019-01-18,27,71794,5580,1475,175792
socketio/socket.io-client-java,5251,2013-04-28,5,5650,440,251,941
xxv/android-lifecycle,5247,2014-04-18,0,481,42,10,910
Karumi/Dexter,5233,2015-11-17,33,2197,354,96,332
Clans/FloatingActionButton,5231,2015-03-21,14,2805,218,65,6565
Yalantis/Side-Menu.Android,5228,2015-01-13,2,449,70,22,74
